Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
8,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,ethnicity-demo-q,Caucasian
9,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,3
10,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,ethnicity-demo-q-text,
11,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,education-demo-q,Some graduate schooling
12,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,education-demo-q-quantised,5
13,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,age-demo-q,18-24
14,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,age-demo-q-quantised,1
15,1618936525403,20/04/2021 16:35:25,1618936525212,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,colorblind-demo-q,No - I never mistake one color for another
16,1618936525403,20/04/2021 16:35:25,1618936525212,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,4
17,1618936525403,20/04/2021 16:35:25,1618936525212,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,41482
